MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1123069056697,15.88,0.12,209.10638,25.25664,53900.32692,0
1123069056697,15.76,0.12,209.10648,25.25660,53900.32789,0
1123069056697,15.82,0.12,209.10652,25.25673,53900.32888,0
1123069056697,15.99,0.07,209.10648,25.25651,53803.37186,0
1123069056697,15.99,0.07,209.10646,25.25656,53803.37886,0
1123069056697,15.98,0.07,209.10650,25.25644,53803.38587,0
1123069056697,16.03,0.07,209.10643,25.25656,53803.39292,0
1123069056697,15.97,0.07,209.10641,25.25652,53819.36987,0
1123069056697,16.01,0.07,209.10644,25.25656,53819.37874,0
1123069056697,15.98,0.07,209.10651,25.25654,53819.38779,0
1123069056697,16.00,0.07,209.10645,25.25652,53819.39665,0
1123069056697,15.97,0.07,209.10643,25.25651,53859.25055,0
1123069056697,15.98,0.07,209.10644,25.25654,53859.26157,0
1123069056697,16.02,0.07,209.10645,25.25655,53859.26816,0
1123069056697,15.92,0.07,209.10648,25.25654,53859.27459,0
1123069056697,15.99,0.07,209.10644,25.25653,53878.37982,0
1123069056697,15.90,0.07,209.10646,25.25653,53878.38478,0
1123069056697,15.96,0.07,209.10642,25.25652,53878.38969,0
1123069056697,15.94,0.07,209.10648,25.25648,53878.39459,0
1123069056697,15.83,0.06,209.10644,25.25651,54204.28517,0
1123069056697,15.87,0.06,209.10643,25.25652,54204.29208,0
1123069056697,15.85,0.06,209.10645,25.25650,54204.29902,0
1123069056697,15.84,0.06,209.10647,25.25649,54204.30594,0
1123069056697,15.91,0.07,209.10642,25.25655,54437.50508,0
1123069056697,15.91,0.07,209.10636,25.25652,54437.50838,0
1123069056697,15.86,0.06,209.10642,25.25652,54437.51167,0
1123069056697,15.88,0.06,209.10640,25.25652,54437.51496,0
1123069056697,15.86,0.07,209.10638,25.25653,54257.20457,0
1123069056697,15.89,0.07,209.10643,25.25653,54257.21128,0
1123069056697,15.87,0.07,209.10643,25.25651,54257.21799,0
1123069056697,15.90,0.07,209.10644,25.25653,54257.22474,0
1123069056697,15.82,0.06,209.10649,25.25660,54276.22077,0
1123069056697,15.84,0.07,209.10641,25.25653,54276.22832,0
1123069056697,15.81,0.06,209.10641,25.25655,54276.23591,0
1123069056697,15.88,0.07,209.10644,25.25656,54276.24352,0
1123069056697,15.80,0.06,209.10647,25.25655,54169.49235,0
1123069056697,15.83,0.06,209.10645,25.25650,54169.49931,0
1123069056697,15.81,0.06,209.10644,25.25650,54169.50630,0
1123069056697,15.83,0.06,209.10639,25.25652,54169.51329,0
1123069056697,15.83,0.06,209.10648,25.25651,54175.32120,0
1123069056697,15.85,0.06,209.10646,25.25650,54175.32919,0
1123069056697,15.80,0.06,209.10645,25.25657,54175.33725,0
1123069056697,15.83,0.06,209.10648,25.25650,54175.34525,0
1123069056697,15.90,0.07,209.10642,25.25657,54230.29681,0
1123069056697,15.89,0.07,209.10644,25.25655,54230.30334,0
1123069056697,15.88,0.07,209.10646,25.25657,54230.30981,0
1123069056697,15.90,0.07,209.10648,25.25652,54230.31627,0
1123069056697,15.88,0.07,209.10649,25.25651,54236.28895,0
1123069056697,15.92,0.07,209.10647,25.25654,54236.29592,0
1123069056697,15.90,0.07,209.10645,25.25655,54236.30291,0
1123069056697,15.89,0.07,209.10644,25.25654,54236.30990,0
1123069056697,15.92,0.07,209.10645,25.25654,54245.24197,0
1123069056697,15.94,0.07,209.10650,25.25656,54245.25118,0
1123069056697,15.83,0.06,209.10644,25.25657,54245.26040,0
1123069056697,15.93,0.07,209.10646,25.25655,54245.26976,0
1123069056697,15.93,0.07,209.10643,25.25650,54557.40054,0
1123069056697,15.92,0.07,209.10649,25.25650,54557.40918,0
1123069056697,15.92,0.07,209.10648,25.25657,54557.41800,0
1123069056697,15.92,0.07,209.10648,25.25655,54557.42663,0
1123069056697,15.91,0.07,209.10646,25.25652,54564.32125,0
1123069056697,15.90,0.07,209.10639,25.25653,54564.32972,0
1123069056697,15.92,0.07,209.10641,25.25654,54564.33816,0
1123069056697,15.87,0.06,209.10648,25.25645,54564.34661,0
1123069056697,15.92,0.07,209.10643,25.25654,54571.25745,0
1123069056697,15.94,0.07,209.10641,25.25656,54571.26504,0
1123069056697,15.90,0.06,209.10644,25.25654,54571.27263,0
1123069056697,15.89,0.06,209.10649,25.25654,54571.28023,0
1123069056697,15.88,0.06,209.10643,25.25648,54585.25170,0
1123069056697,15.89,0.06,209.10643,25.25654,54585.25959,0
1123069056697,15.90,0.07,209.10646,25.25652,54585.26746,0
1123069056697,15.93,0.07,209.10640,25.25658,54585.27534,0
1123069056697,16.00,0.07,209.10634,25.25660,54807.50983,0
1123069056697,15.93,0.07,209.10637,25.25659,54807.51469,0
1123069056697,15.97,0.07,209.10641,25.25660,54807.51959,0
1123069056697,15.92,0.07,209.10641,25.25656,54807.52447,0
1123069056697,15.90,0.06,209.10643,25.25650,54497.47542,0
1123069056697,15.89,0.06,209.10646,25.25653,54497.48148,0
1123069056697,15.88,0.06,209.10646,25.25656,54497.48770,0
1123069056697,15.89,0.06,209.10643,25.25653,54497.49375,0
1123069056697,15.88,0.07,209.10642,25.25654,54507.42953,0
1123069056697,15.91,0.07,209.10641,25.25657,54507.43807,0
1123069056697,15.90,0.07,209.10643,25.25653,54507.44660,0
1123069056697,15.89,0.07,209.10646,25.25655,54507.45508,0
1123069056697,15.83,0.06,209.10651,25.25661,54514.44501,0
1123069056697,15.88,0.06,209.10644,25.25656,54514.45102,0
1123069056697,15.87,0.06,209.10651,25.25650,54514.45700,0
1123069056697,15.92,0.07,209.10649,25.25668,54514.46298,0
1123069056697,15.98,0.07,209.10643,25.25656,54625.28687,0
1123069056697,15.97,0.07,209.10649,25.25654,54625.29397,0
1123069056697,15.98,0.07,209.10650,25.25650,54625.30110,0
1123069056697,15.95,0.07,209.10649,25.25648,54625.30823,0
1123069056697,16.02,0.07,209.10638,25.25655,54641.27440,0
1123069056697,16.03,0.07,209.10644,25.25655,54641.28091,0
1123069056697,15.96,0.07,209.10642,25.25659,54641.28744,0
1123069056697,15.97,0.07,209.10644,25.25654,54641.29395,0
1123069056697,15.92,0.06,209.10644,25.25652,54527.38914,0
1123069056697,15.87,0.06,209.10648,25.25653,54527.39723,0
1123069056697,15.93,0.06,209.10648,25.25654,54527.40530,0
1123069056697,15.89,0.06,209.10643,25.25651,54527.41341,0
